zpid,price,latitude,longitude,beds,baths,area
29816884,430000.0,40.852983,-73.832433,3.0,2.0,1480.0
29816893,680000.0,40.852979,-73.831178,3.0,2.0,1224.0
29816914,516000.0,40.85272,-73.833191,4.0,2.0,1200.0
29816941,950000.0,40.85338,-73.831754,7.0,4.0,3321.0
29817040,550000.0,40.852896,-73.829764,3.0,3.0,1548.0
29817058,519525.0,40.853473,-73.829788,3.0,2.0,1264.0
29817137,547500.0,40.85425,-73.830312,3.0,3.0,1280.0
29817186,389000.0,40.847875,-73.866815,3.0,2.0,1120.0
29817239,489000.0,40.848232,-73.865946,4.0,2.0,1534.0
29817240,286000.0,40.84831,-73.865881,3.0,2.0,1534.0
29817246,550000.0,40.848888,-73.865748,3.0,4.0,1568.0
29817258,450000.0,40.847921,-73.865723,3.0,2.0,1152.0
29817260,431000.0,40.847788,-73.865834,3.0,3.0,1152.0
29817264,495000.0,40.848607,-73.865805,3.0,2.0,1534.0
29817324,140000.0,40.849065,-73.864384,5.0,2.0,3174.0
29817334,465000.0,40.849507,-73.864192,3.0,2.0,1224.0
29817347,475000.0,40.848714,-73.863861,3.0,2.0,1488.0
29817460,410000.0,40.850084,-73.861409,2.0,2.0,935.0
29817782,675000.0,40.852028,-73.855317,5.0,3.0,1564.0
29817787,645000.0,40.851681,-73.855084,3.0,3.0,1904.0
29817818,650000.0,40.853339,-73.855245,3.0,2.0,1480.0
29817819,560000.0,40.853279,-73.855198,3.0,2.0,1500.0
29817841,675000.0,40.851937,-73.854207,4.0,3.0,1728.0
29817853,630000.0,40.852604,-73.8551,4.0,3.0,1600.0
29817859,573500.0,40.852958,-73.855377,4.0,2.0,1620.0
29817863,570000.0,40.852895,-73.854941,3.0,2.0,1800.0
29817938,460000.0,40.853214,-73.852157,3.0,2.5,2000.0
29817939,680000.0,40.853305,-73.852199,3.0,3.0,1376.0
29817989,510000.0,40.854926,-73.852174,3.0,3.0,1830.0
29818019,630000.0,40.853787,-73.849979,3.0,3.0,1400.0
29818026,599000.0,40.853995,-73.850557,3.0,2.0,1760.0
29818078,787500.0,40.855017,-73.848996,3.0,3.0,2730.0
29818156,515000.0,40.851397,-73.862374,3.0,2.0,1380.0
29818209,579000.0,40.852747,-73.862812,3.0,2.0,1488.0
29818215,595000.0,40.853233,-73.862672,5.0,3.0,1990.0
29818219,500000.0,40.853603,-73.862675,3.0,2.0,2348.0
29818311,505000.0,40.852442,-73.859953,4.0,3.0,1401.0
29818393,628000.0,40.853124,-73.857424,4.0,3.0,2400.0
29818437,575000.0,40.854345,-73.856088,4.0,2.0,1528.0
29818611,795000.0,40.856917,-73.853235,3.0,3.0,2660.0
29818617,1200000.0,40.856511,-73.852964,4.0,4.0,1820.0
29818620,900000.0,40.85622,-73.853056,4.0,3.0,2496.0
29818665,785000.0,40.856373,-73.851319,4.0,2.0,2330.0
29818718,615000.0,40.854624,-73.862766,3.0,3.0,1836.0
29818725,667000.0,40.85655,-73.862369,3.0,2.0,2514.0
29818780,578000.0,40.855225,-73.861313,3.0,3.0,1842.0
